"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"05/06/2020","705","690","705","670","13,74M","2,92%"
"04/06/2020","685","720","735","685","38,33M","-2,84%"
"03/06/2020","705","660","730","655","40,81M","8,46%"
"02/06/2020","650","650","675","640","18,90M","1,56%"
"29/05/2020","640","685","685","640","21,81M","-5,88%"
"28/05/2020","680","695","705","670","12,79M","-1,45%"
"27/05/2020","690","710","710","685","8,94M","0,00%"
"26/05/2020","690","680","710","650","5,36M","0,00%"
"20/05/2020","690","695","700","680","1,96M","0,00%"
"19/05/2020","690","705","710","685","4,42M","1,47%"
"18/05/2020","680","710","720","675","7,47M","-3,55%"
"15/05/2020","705","730","730","705","2,15M","-2,08%"
"14/05/2020","720","740","745","720","1,43M","-3,36%"
"13/05/2020","745","720","745","700","3,59M","2,76%"
"12/05/2020","725","755","765","725","3,41M","-3,97%"
"11/05/2020","755","765","765","745","4,67M","2,03%"
"08/05/2020","740","735","760","735","8,18M","2,07%"
"06/05/2020","725","730","745","720","7,42M","0,69%"
"05/05/2020","720","690","735","690","10,34M","-2,70%"
"04/05/2020","740","740","740","740","2,99M","-6,92%"
"30/04/2020","795","760","795","755","15,95M","5,30%"
"29/04/2020","755","745","765","740","4,80M","2,03%"
"28/04/2020","740","760","760","740","8,19M","-1,99%"
"27/04/2020","755","745","780","725","14,83M","6,34%"
"24/04/2020","710","735","755","710","11,07M","0,00%"
"23/04/2020","710","740","775","710","9,75M","-0,70%"
"22/04/2020","715","735","740","690","5,07M","-3,38%"
"21/04/2020","740","785","785","740","8,86M","-6,92%"
"20/04/2020","795","780","865","760","27,24M","2,58%"
"17/04/2020","775","770","790","760","3,36M","0,65%"
"16/04/2020","770","800","800","760","2,06M","-0,65%"
"15/04/2020","775","785","820","770","5,05M","-2,52%"
"14/04/2020","795","760","795","755","4,96M","4,61%"
"13/04/2020","760","760","770","745","1,89M","1,33%"
"09/04/2020","750","740","775","730","6,15M","1,35%"
"08/04/2020","740","760","760","710","6,11M","-1,99%"
"07/04/2020","755","790","800","730","7,82M","-1,31%"
"06/04/2020","765","755","775","720","7,56M","3,38%"
"03/04/2020","740","765","785","730","4,42M","-1,33%"
"02/04/2020","750","735","765","700","5,54M","3,45%"
